# https://zh.flightaware.com//live/flight/UAL552/history/20221030/2210Z/KLAX/KEWR/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
060733	33.9353	118.4222	262	['184']	['341']	['251']	0
060749	33.9336	118.4386	264	['185']	['343']	['472']	629.0
060805	33.9316	118.4566	258	['208']	['385']	['587']	414.0
060821	33.9238	118.4725	226	['227']	['420']	['693']	543.0
060837	33.9116	118.4860	225	['233']	['431']	['876']	713.0
060855	33.8988	118.5059	235	['244']	['452']	['1097']	581.0
060914	33.8853	118.5271	230	['271']	['502']	['1234']	597.0
060931	33.8710	118.5469	226	['277']	['513']	['1455']	873.0
060947	33.8524	118.5609	202	['280']	['518']	['1715']	901.0
061004	33.8314	118.5624	173	['281']	['520']	['1951']	880.0
061027	33.8022	118.5506	161	['284']	['526']	['2301']	835.0
061056	33.7659	118.5392	167	['294']	['544']	['2675']	810.0
061128	33.7210	118.5266	166	['302']	['560']	['3124']	781.0
061144	33.7010	118.5137	142	['308']	['570']	['3299']	505.0
061206	33.6846	118.4813	108	['324']	['600']	['3444']	467.0
061230	33.6743	118.4401	110	['341']	['631']	['3658']	442.0
061307	33.6540	118.3741	109	['376']	['697']	['3894']	320.0
061330	33.6452	118.3245	95	['397']	['735']	['3978']	329.0
061357	33.6437	118.2646	90	['414']	['766']	['4168']	586.0
061427	33.6443	118.1946	89	['418']	['774']	['4534']	739.0
061457	33.6448	118.1252	90	['421']	['779']	['4907']	709.0
061527	33.6449	118.0545	90	['426']	['789']	['5243']	655.0
061557	33.6448	117.9802	90	['432']	['800']	['5563']	549.0
061627	33.6446	117.9123	90	['440']	['814']	['5791']	518.0
061657	33.6445	117.8378	89	['445']	['824']	['6081']	564.0
061727	33.6508	117.7640	80	['447']	['827']	['6355']	549.0
061807	33.6689	117.6662	77	['451']	['835']	['6721']	549.0
061837	33.6836	117.5896	77	['453']	['838']	['6995']	518.0
061907	33.6967	117.5209	77	['457']	['847']	['7239']	472.0
061937	33.7113	117.4449	77	['460']	['851']	['7468']	450.0
062007	33.7254	117.3706	77	['465']	['861']	['7689']	411.0
062037	33.7399	117.2940	77	['469']	['869']	['7879']	427.0
062108	33.7494	117.2114	87	['476']	['882']	['8123']	557.0
062146	33.7495	117.1142	91	['468']	['867']	['8519']	612.0
062207	33.7492	117.0607	89	['463']	['858']	['8725']	574.0
062237	33.7535	116.9825	84	['456']	['845']	['9007']	480.0
062307	33.7610	116.9096	82	['456']	['845']	['9205']	427.0
062337	33.7699	116.8341	82	['456']	['845']	['9434']	472.0
062407	33.7792	116.7583	82	['454']	['840']	['9677']	457.0
062437	33.7884	116.6845	82	['453']	['838']	['9891']	373.0
062507	33.7976	116.6108	82	['453']	['838']	['10051']	175.0
062537	33.8067	116.5363	82	['455']	['843']	['10066']	7.0
062609	33.8164	116.4567	82	['456']	['845']	['10058']	-7.0
062639	33.8257	116.3798	82	['451']	['835']	['10058']	0
062709	33.8343	116.3088	82	['452']	['837']	['10058']	0
062739	33.8434	116.2328	82	['452']	['837']	['10058']	0
062809	33.8524	116.1568	82	['453']	['838']	['10058']	0
