# https://zh.flightaware.com//live/flight/UAL552/history/20221105/1800Z/KSFO/KLAX/tracklog
cst	lat	lon	hdg	knot	kph	alt	roc
022328	37.6267	122.3709	22	['150']	['278']	['99']	0
022344	37.6363	122.3687	8	['155']	['286']	['274']	729.0
022400	37.6480	122.3665	8	['158']	['293']	['488']	757.0
022416	37.6591	122.3645	8	['149']	['275']	['678']	629.0
022432	37.6703	122.3628	6	['150']	['278']	['823']	443.0
022448	37.6824	122.3623	350	['161']	['298']	['914']	300.0
022504	37.6930	122.3682	325	['176']	['327']	['983']	314.0
022520	37.7016	122.3817	295	['192']	['356']	['1082']	336.0
022538	37.7021	122.4027	248	['227']	['420']	['1173']	431.0
022555	37.6901	122.4222	219	['257']	['476']	['1334']	646.0
022612	37.6709	122.4325	192	['285']	['528']	['1539']	845.0
022628	37.6480	122.4319	172	['298']	['552']	['1798']	1.0
022645	37.6258	122.4272	170	['300']	['555']	['2118']	1.0
022715	37.5829	122.4168	169	['309']	['573']	['2614']	878.0
022800	37.5191	122.4006	169	['332']	['615']	['3216']	610.0
022830	37.4703	122.3891	170	['372']	['689']	['3376']	547.0
022851	37.4343	122.3807	169	['375']	['695']	['3680']	927.0
022907	37.4065	122.3733	165	['376']	['697']	['3947']	873.0
022924	37.3801	122.3573	145	['388']	['719']	['4161']	565.0
022945	37.3518	122.3224	132	['410']	['760']	['4305']	502.0
023015	37.3145	122.2700	132	['425']	['787']	['4587']	610.0
023045	37.2751	122.2150	132	['431']	['798']	['4915']	671.0
023115	37.2349	122.1593	132	['435']	['806']	['5258']	693.0
023145	37.1936	122.1018	132	['435']	['806']	['5608']	602.0
023215	37.1516	122.0436	132	['443']	['821']	['5860']	480.0
023245	37.1113	121.9879	132	['452']	['837']	['6088']	457.0
023315	37.0685	121.9289	132	['459']	['850']	['6317']	518.0
023345	37.0264	121.8708	132	['459']	['850']	['6607']	503.0
023415	36.9819	121.8097	132	['464']	['859']	['6820']	434.0
023445	36.9399	121.7520	132	['467']	['864']	['7041']	419.0
023515	36.8957	121.6913	132	['473']	['875']	['7239']	396.0
023545	36.8500	121.6288	132	['477']	['884']	['7437']	381.0
023615	36.8066	121.5697	132	['482']	['893']	['7620']	373.0
023645	36.7604	121.5067	132	['486']	['900']	['7811']	404.0
023715	36.7140	121.4436	132	['488']	['904']	['8024']	434.0
023745	36.6694	121.3830	132	['489']	['906']	['8245']	389.0
023815	36.6222	121.3192	133	['494']	['914']	['8412']	328.0
023845	36.5780	121.2594	133	['498']	['922']	['8573']	328.0
023915	36.5299	121.1945	133	['501']	['929']	['8740']	305.0
023945	36.4817	121.1298	133	['505']	['935']	['8877']	351.0
024015	36.4358	121.0679	132	['503']	['932']	['9091']	451.0
024056	36.3730	120.9778	131	['499']	['924']	['9411']	451.0
024126	36.3276	120.9127	131	['496']	['919']	['9624']	480.0
024156	36.2830	120.8488	131	['489']	['906']	['9891']	434.0
024226	36.2387	120.7854	131	['483']	['895']	['10058']	175.0
024256	36.1968	120.7255	131	['479']	['887']	['10066']	0
024326	36.1526	120.6624	131	['483']	['895']	['10058']	-8.0
024356	36.1067	120.5971	131	['484']	['896']	['10058']	0
024426	36.0646	120.5374	131	['481']	['892']	['10058']	0
024456	36.0198	120.4738	131	['482']	['893']	['10058']	-8.0
024527	35.9735	120.4085	131	['486']	['900']	['10051']	0
024557	35.9297	120.3466	131	['483']	['895']	['10058']	8.0
024627	35.8847	120.2901	137	['480']	['888']	['10058']	0
024657	35.8334	120.2378	143	['477']	['884']	['10058']	0
024727	35.7774	120.1919	148	['478']	['885']	['10058']	0
024757	35.7229	120.1507	148	['476']	['882']	['10058']	0
024827	35.6653	120.1073	148	['477']	['884']	['10058']	0
024857	35.6086	120.0644	148	['482']	['893']	['10058']	0
024927	35.5493	120.0197	148	['485']	['898']	['10058']	0
024957	35.4965	119.9800	148	['484']	['896']	['10058']	0
025027	35.4387	119.9364	148	['483']	['895']	['10058']	0
025057	35.3802	119.8924	148	['481']	['892']	['10058']	0
025127	35.3238	119.8503	149	['481']	['892']	['10058']	0
025210	35.2433	119.7814	143	['483']	['895']	['10058']	-6.0
025240	35.1907	119.7322	143	['482']	['893']	['10051']	-396.0
025310	35.1377	119.6829	143	['489']	['906']	['9662']	-930.0
025340	35.0840	119.6327	142	['492']	['911']	['9121']	-1.0
025410	35.0299	119.5824	143	['490']	['908']	['8649']	-808.0
025440	34.9769	119.5331	143	['480']	['888']	['8313']	-686.0
025510	34.9229	119.4830	143	['470']	['871']	['7963']	-648.0
025540	34.8723	119.4372	144	['459']	['850']	['7666']	-465.0
025610	34.8218	119.3922	144	['439']	['813']	['7498']	-351.0
025640	34.7722	119.3478	144	['421']	['779']	['7315']	-457.0
025710	34.7266	119.3074	144	['415']	['769']	['7041']	-511.0
025740	34.6806	119.2674	144	['406']	['752']	['6805']	-503.0
025810	34.6356	119.2281	144	['401']	['742']	['6538']	-671.0
025840	34.5899	119.1889	145	['408']	['756']	['6134']	-693.0
025910	34.5441	119.1493	144	['403']	['747']	['5845']	-518.0
025940	34.4995	119.1094	144	['396']	['734']	['5616']	-465.0
030010	34.4556	119.0705	144	['387']	['716']	['5380']	-404.0
030040	34.4115	119.0319	144	['372']	['689']	['5212']	-267.0
030110	34.3714	118.9972	144	['355']	['658']	['5113']	-351.0
030140	34.3328	118.9638	144	['352']	['652']	['4862']	-488.0
030210	34.2937	118.9281	143	['348']	['644']	['4625']	-632.0
030240	34.2538	118.8918	143	['362']	['671']	['4229']	-747.0
