ORIGIN	DEST	FLT
ORD	LAX	NKS1024
ORD	LAX	UAL1963
ORD	LAX	UAL2649
ORD	LAX	AAL374
ORD	LAX	UAL1067
ORD	LAX	NKS644
ORD	LAX	UAL2095
ORD	LAX	AAL1375
ORD	LAX	UAL2451
ORD	LAX	AAL2968
ATL	JAX	DAL2693
ATL	JAX	DAL683
ATL	JAX	DAL1667
ATL	JAX	DAL2503
ATL	JAX	DAL1603
ATL	JAX	DAL2359
ATL	JAX	DAL2816
ATL	JAX	SWA1054
ATL	JAX	DAL2127
ATL	JAX	DAL906
DFW	LAX	AAL2254
DFW	LAX	AAL1653
DFW	LAX	AAL2624
DFW	LAX	AAL788
DFW	LAX	NKS867
DFW	LAX	AAL2967
DFW	LAX	DAL1041
DFW	LAX	NKS628
DFW	LAX	AAL1548
DFW	LAX	AAL2723
JFK	LAX	JBU1823
JFK	LAX	JBU1723
JFK	LAX	AAL185
JFK	LAX	AAL300
JFK	LAX	JBU223
JFK	LAX	DAL1028
JFK	LAX	JBU2715
JFK	LAX	DAL1058
JFK	LAX	AAL117
JFK	LAX	JBU823
ATL	LAX	DAL1137
ATL	LAX	DAL2331
ATL	LAX	NKS1301
ATL	LAX	DAL1692
ATL	LAX	AAL2307
ATL	LAX	DAL335
ATL	LAX	DAL2284
ATL	LAX	DAL2764
ATL	LAX	DAL515
ATL	LAX	DAL516
ATL	PBI	DAL2133
ATL	PBI	DAL1578
ATL	PBI	DAL2243
ATL	PBI	DAL657
ATL	PBI	FFT1350
ATL	PBI	DAL1377
ATL	PBI	DAL2417
ATL	PBI	DAL970
ATL	PBI	SWA606
ATL	PBI	DAL2314
MIA	DFW	AAL1226
MIA	DFW	AAL1950
MIA	DFW	AAL2524
MIA	DFW	NKS3163
MIA	DFW	AAL2133
MIA	DFW	AAL504
MIA	DFW	AAL1753
MIA	DFW	AAL2987
MIA	DFW	AAL1825
MIA	DFW	AAL1477
CLT	DFW	AAL522
CLT	DFW	AAL670
CLT	DFW	AAL1762
CLT	DFW	AAL2573
CLT	DFW	AAL877
CLT	DFW	AAL825
CLT	DFW	AAL1863
CLT	DFW	AAL667
CLT	DFW	AAL888
CLT	DFW	AAL430
DFW	CLT	AAL1816
DFW	CLT	AAL855
DFW	CLT	AAL1284
DFW	CLT	AAL2602
DFW	CLT	AAL2623
DFW	CLT	AAL514
DFW	CLT	AAL784
DFW	CLT	AAL2438
DFW	CLT	AAL553
DFW	CLT	AAL2943
MIA	JFK	AAL1357
